"Species","Size","Agg","Position","Diet","Kmax"
"Rhabdosargus_sarba","S5","Group","Benthic","I",0.114850375801325
"Sarda_australis","S6","Group","Pelagic","P",0.039853548631072
"Schuettea_scalaripinnis","S3","Group","BenthoP","PK",0.33499650657177
"Scorpaena_cardinalis","S2","Solitary","Benthic","P",0.261735841631889
"Scorpis_lineolata","S3","Group","Pelagic","PK",0.268453970551491
"Seriola_dumerili","S6","Group","Pelagic","P",0.0645849294960499
"Seriola_hippos","S6","Group","Pelagic","P",0.0723242126405239
"Seriola_lalandi","S6","Group","Pelagic","P",0.0664753057062626
"Seriolina_nigrofasciata","S5","Solitary","Pelagic","P",0.175335630774498
"Seriola_rivoliana","S6","Group","Pelagic","P",0.0416251607239246
"Siganus_fuscescens","S4","Group","BenthoP","HM",0.186412878334522
"Synodus_jaculum","S3","Solitary","Benthic","I",0.318833112716675
"Thalassoma_lunare","S4","Solitary","BenthoP","I",0.114803832024336
"Thalassoma_lutescens","S3","Group","BenthoP","I",0.227071240544319
"Trachinops_taeniatus","S1","Group","BenthoP","PK",0.654310673475266
"Trachurus_novaezelandiae","S3","Group","BenthoP","PK",0.333705052733421
"Trachypoma_macracanthus","S3","Solitary","Benthic","P",0.237121127545834
"Upeneichthys_lineatus","S4","Group","BenthoP","I",0.130337499082088
"Zanclus_cornutus","S3","Pair","BenthoP","I",0.247163534164429
