"Species","Size","Agg","Position","Diet","Kmax"
"Epinephelus_undulatostriatus","S5","Solitary","BenthoP","P",0.128003194928169
"Eubalichthys_mosaicus","S4","Solitary","BenthoP","OM",0.0700971558690071
"Eupetrichthys_angustipes","S2","Solitary","BenthoP","I",0.978514492511749
"Glaucosoma_scapulare","S5","Group","BenthoP","P",0.152192786335945
"Goniistius_vestitus","S3","Solitary","BenthoP","I",0.137867197394371
"Gymnothorax_prasinus","S6","Solitary","Benthic","P",0.0938444212079048
"Gymnothorax_prionodon","S6","Solitary","Benthic","P",0.0507482383400202
"Gymnothorax_thyrsoidea","S5","Pair","Benthic","P",0.134546488523483
"Heniochus_acuminatus","S3","Solitary","BenthoP","PK",0.255905956029892
"Heterodontus_galeatus","S6","Solitary","Benthic","I",0.0442832130938768
"Hypoplectrodes_maccullochi","S4","Solitary","Benthic","I",0.100498303771019
"Kyphosus_sydneyanus","S5","Group","Pelagic","HM",0.104445736855268
"Labroides_dimidiatus","S2","Solitary","BenthoP","I",0.491310521960258
"Lethrinus_nebulosus","S6","Group","Benthic","I",0.112798254936934
"Lotella_rhacina","S4","Solitary","Benthic","P",0.148009911179543
"Lutjanus_adetii","S4","Group","BenthoP","I",0.134348854422569
"Lutjanus_fulviflamma","S3","Group","BenthoP","I",0.121961172670126
"Lutjanus_russellii","S4","Group","BenthoP","P",0.174549773335457
"Mecaenichthys_immaculatus","S2","Group","Benthic","PK",0.610454887151718
"Meuschenia_flavolineata","S3","Pair","BenthoP","OM",0.316470786929131
"Meuschenia_freycineti","S4","Solitary","BenthoP","OM",0.092443585395813
"Meuschenia_trachylepis","S4","Solitary","BenthoP","OM",0.273100733757019
"Morwong_fuscus","S5","Solitary","BenthoP","I",0.059143740683794
"Mulloidichthys_vanicolensis","S4","Group","BenthoP","I",0.1290492862463
"Myliobatis_australis","S6","Solitary","Benthic","I",0.0631760135293007
"Nelusetta_ayraud","S6","Solitary","BenthoP","P",0.108317278325558
"Nemadactylus_douglasii","S6","Group","BenthoP","I",0.131888844072819
"Notolabrus_gymnogenis","S3","Solitary","BenthoP","I",0.255015507340431
"Ophthalmolepis_lineolata","S4","Solitary","BenthoP","I",0.147154323756695
"Orectolobus_halei","S6","Solitary","Benthic","P",0.0438202936202288
"Orectolobus_maculatus","S6","Solitary","Benthic","P",0.0308485301211476
"Paracaesio_xanthura","S4","Group","BenthoP","PK",0.135493591427803
"Parapercis_ramsayi","S3","Solitary","Benthic","I",0.311291009187698
"Parapercis_stricticeps","S2","Solitary","Benthic","I",0.38837768137455
"Parma_unifasciata","S2","Solitary","Benthic","HM",0.378393113613129
"Parupeneus_multifasciatus","S3","Group","Benthic","I",0.140884570777416
"Parupeneus_spilurus","S4","Solitary","Benthic","I",0.144643165171146
"Pempheris_affinis","S2","Group","BenthoP","PK",0.59809210896492
"Pempheris_compressa","S3","Group","BenthoP","PK",0.33499650657177
"Pictilabrus_laticlavius","S3","Solitary","BenthoP","I",0.255015507340431
"Platax_teira","S5","Group","Benthic","HM",0.0827919691801071
"Plectorhinchus_flavomaculatus","S4","Solitary","BenthoP","P",0.118335910141468
"Prionurus_maculatus","S4","Group","BenthoP","HD",0.16004753112793
"Prionurus_microlepidotus","S5","Group","BenthoP","HD",0.127124153077602
"Pseudocaranx_dentex","S6","Group","BenthoP","P",0.0593289136886597
"Pseudolabrus_guentheri","S2","Solitary","BenthoP","I",0.472974002361298
"Pseudolabrus_luculentus","S2","Solitary","BenthoP","I",0.599164664745331
"Pterocaesio_digramma","S3","Group","Pelagic","PK",0.268453970551491
"Rhabdosargus_sarba","S5","Group","Benthic","I",0.114850375801325
"Sarda_australis","S6","Group","Pelagic","P",0.039853548631072
"Schuettea_scalaripinnis","S3","Group","BenthoP","PK",0.33499650657177
"Scorpaena_cardinalis","S2","Solitary","Benthic","P",0.261735841631889
"Scorpis_lineolata","S3","Group","Pelagic","PK",0.268453970551491
"Seriola_dumerili","S6","Group","Pelagic","P",0.0645849294960499
"Seriola_hippos","S6","Group","Pelagic","P",0.0723242126405239
"Seriola_lalandi","S6","Group","Pelagic","P",0.0664753057062626
"Seriola_rivoliana","S6","Group","Pelagic","P",0.0416251607239246
"Siganus_fuscescens","S4","Group","BenthoP","HM",0.186412878334522
"Stethojulis_interrupta","S2","Group","Benthic","I",0.586683869361877
"Sufflamen_chrysopterum","S3","Solitary","BenthoP","I",0.227071240544319
"Synodus_jaculum","S3","Solitary","Benthic","I",0.318833112716675
"Thalassoma_lunare","S4","Solitary","BenthoP","I",0.114803832024336
"Thalassoma_lutescens","S3","Group","BenthoP","I",0.227071240544319
"Trachinops_taeniatus","S1","Group","BenthoP","PK",0.654310673475266
"Trachurus_novaezelandiae","S3","Group","BenthoP","PK",0.333705052733421
"Trygonorrhina_fasciata","S6","Solitary","Benthic","I",0.0631760135293007
"Upeneichthys_lineatus","S4","Group","BenthoP","I",0.130337499082088
