Site,Acanthistius ocellatus,Acanthopagrus australis,Achoerodus viridis,Anampses caeruleopunctatus,Anampses neoguinaicus,Apogon limenus,Atractoscion atelodus,Atypichthys strigatus,Austrolabrus maculatus,Bodianus frenchii,Bodianus perditio,Brachaelurus waddi,Canthigaster callisterna,Caranx melampygus,Caranx sexfasciatus,Carcharias taurus,Centropogon australis,Chaetodon flavirostris,Chaetodon guentheri,Chelmonops truncatus,Choerodon venustus,Chrysophrys auratus,Chromis hypsilepis,Chromis weberi,Cirrhilabrus punctatus,Cirrhitichthys aprinus,Coris aygula,Coris dorsomacula,Coris picta,Dasyatis brevicaudata,Dasyatis thetidis,Dicotylichthys punctulatus,Dinolestes lewini,Echeneis naucrates,Enoplosus armatus,Epinephelus cyanopodus,Epinephelus daemelii,Epinephelus fasciatus,Epinephelus undulatostriatus,Eubalichthys mosaicus,Eupetrichthys angustipes,Girella elevata,Glaucosoma scapulare,Gnathanodon speciosus,Goniistius vestitus,Gymnothorax prasinus,Gymnothorax prionodon,Gymnothorax thyrsoidea,Halichoeres nebulosus,Heniochus acuminatus,Hypoplectrodes maccullochi,Kyphosus sydneyanus,Labroides dimidiatus,Lutjanus adetii,Lutjanus fulviflamma,Lutjanus russellii,Mecaenichthys immaculatus,Meuschenia freycineti,Meuschenia scaber,Meuschenia trachylepis,Microcanthus strigatus,Morwong fuscus,Myliobatis australis,Nelusetta ayraud,Nemadactylus douglasii,Notolabrus gymnogenis,Ophthalmolepis lineolata,Orectolobus halei,Orectolobus maculatus,Paracaesio xanthura,Parapercis ramsayi,Parapercis stricticeps,Paraplesiops bleekeri,Parma unifasciata,Parupeneus multifasciatus,Parupeneus spilurus,Pempheris affinis,Pempheris compressa,Plagiotremus tapeinosoma,Pomacentrus coelestis,Prionurus maculatus,Prionurus microlepidotus,Pseudocaranx dentex,Pseudolabrus guentheri,Pseudolabrus luculentus,Pterocaesio digramma,Rachycentron canadum,Rhabdosargus sarba,Sarda australis,Schuettea scalaripinnis,Scorpaena cardinalis,Scorpis lineolata,Seriola dumerili,Seriola hippos,Seriola lalandi,Seriolina nigrofasciata,Seriola rivoliana,Siganus fuscescens,Synodus jaculum,Thalassoma lunare,Thalassoma lutescens,Trachinops taeniatus,Trachurus novaezelandiae,Trachypoma macracanthus,Upeneichthys lineatus,Zanclus cornutus
40AcresW3_2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40AcresW3_2009,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40AcresW3_2010,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,5,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,44,0,1,0,0,0,0,0,0,3,0,0,0,0,0
40AcresW3_2011,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,3,35,0,0,0,0,0,0,0,2,0,25,0,0,0,0
40AcresW3_2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40AcresW3_2014,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,200,0,33,0,0,0,0,0,4,1,0,0,0,0,0
40AcresW3_2015,1,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,14,0,1,0,1,0,0,0,0,0,20,0,40,0,2,0,0,0,0,0,4,1,0,0,0,0,0
40AcresW3_2018,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,1,2,132,0,0,0,0
Bullocky1_2002,0,3,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Bullocky1_2003,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
