"Species","sstmean","MaxSizeTL","Diet","Position","Method","Kmax","Kmax_lowq","Kmax_uppq"
"Eupetrichthys angustipes",22.8,12.4,"InvMob","BtPlDw","Otolth",0.978514492511749,0.884098589420319,1.09900230169296
"Girella elevata",22.8,62,"HerMac","BtPlDw","Otolth",0.123161427676678,0.11135339550674,0.135528229176998
"Glaucosoma scapulare",22.8,70,"FisCep","BtPlDw","Otolth",0.152192786335945,0.135561391711235,0.173117846250534
"Gnathanodon speciosus",22.8,120,"FisCep","PelgAs","Otolth",0.12420516461134,0.11380173265934,0.136344823986292
"Goniistius vestitus",22.8,35,"InvMob","BtPlAs","Otolth",0.137867197394371,0.120035655796528,0.159298673272133
"Gymnothorax prasinus",22.8,91.5,"FisCep","BnthAs","Otolth",0.0938444212079048,0.0799003727734089,0.109382042661309
"Gymnothorax prionodon",22.8,150,"FisCep","BnthAs","Otolth",0.0507482383400202,0.044369057752192,0.057855867780745
"Gymnothorax thyrsoidea",22.8,73.2,"FisCep","BnthAs","Otolth",0.134546488523483,0.115272652357817,0.158356003463268
"Halichoeres hortulanus",22.8,27,"InvMob","BtPlDw","Otolth",0.240109696984291,0.215920262038708,0.268881089985371
"Halichoeres margaritaceus",22.8,12.5,"InvMob","BtPlDw","Otolth",0.771325260400772,0.686569392681122,0.868828445672989
"Halichoeres nebulosus",22.8,12,"InvMob","BtPlDw","Otolth",0.996103405952454,0.893624916672707,1.1115807890892
"Heniochus acuminatus",22.8,25,"Plktiv","BtPlAs","Otolth",0.255905956029892,0.228384394198656,0.286516912281513
"Heterodontus galeatus",22.8,152,"InvMob","BnthAs","Otolth",0.0442832130938768,0.0383968455716968,0.0517626339569688
"Hologymnosus annulatus",22.8,40,"FisCep","BtPlAs","Otolth",0.146656602621078,0.126522194594145,0.170784309506416
"Hypoplectrodes maccullochi",22.8,45,"InvMob","BnthAs","Otolth",0.100498303771019,0.0912269093096256,0.110650904476643
"Kyphosus sydneyanus",22.8,80,"HerMac","PelgDw","Otolth",0.104445736855268,0.091660238802433,0.120861254632473
"Labroides dimidiatus",22.8,14,"InvMob","BtPlAs","Otolth",0.491310521960258,0.428280435502529,0.550544589757919
"Leptojulis cyanopleura",22.8,13,"Plktiv","BtPlDw","Otolth",0.543193459510803,0.483717888593674,0.607634499669075
