"Code","A_australis","A_bengalensis","A_caeruleopunctatus","A_chinensis","A_dussumeri","A_limenus","A_lophodon","A_maculatus","A_monoceros","A_narinari","A_ocellatus","A_strigatus","A_viridis","B_frenchii","B_perditio","B_waddi","C_auratus","C_australis","C_callisterna","C_dorsomacula","C_flavirostris","C_guentheri","C_hypsilepis","C_picta","C_taurus","C_tibicen","C_truncatus","C_venustus","D_brevicaudata","D_lewini","E_angustipes","E_armatus","E_daemelii","E_fasciatus","E_mosaicus","E_naucrates","E_undulatostriatus","G_prasinus","G_prionodon","G_scapulare","G_thyrsoidea","G_vestitus","H_acuminatus","H_galeatus","H_maccullochi","K_sydneyanus","L_adetii","L_dimidiatus","L_fulviflamma","L_nebulosus","L_rhacina","L_russelli","M_australis","M_flavolineata","M_freycineti","M_fuscus","M_immaculatus","M_trachylepis","M_vanicolensis","N_ayraudi","N_douglasii","N_gymnogenis","O_halei","O_lineolata","O_maculatus","P_affinis","P_compressa","P_dentex","P_digramma","P_flavomaculatus","P_guentheri","P_laticlavius","P_luculentus","P_maculatus","P_microlepidotus","P_multifasciatus","P_ramsayi","P_spilurus","P_striticeps","P_teira","P_unifasciata","P_xanthura","R_sarba","S_australis","S_cardinalis","S_chrysopterus","S_dumerili","S_fuscensens","S_hippos","S_interrupta","S_jaculum","S_lalandi","S_lineolata","S_rivoliana","S_scalaripinnis","T_fasciata","T_lunare","T_lutescens","T_novaezelandiae","T_taeniatus","U_lineatus"
"JeffreyShoal_2013",3,0,0,0,0,0,0,1,0,0,3,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,3,9,0,3,0,9,0,0,2,0,0,0,1,0,0,0,0,0,8,0,5,0,8,0,0,0,1,0,0,0,101,0,0,0,1,2,0,0,0
"JeffreyShoal_2015",2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,4,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,11,0,15,0,9,0,3,0,0,0,0,0,13,0,0,0,7,4,0,2,0
"JeffreyShoal_2018",5,0,0,0,0,0,0,1,0,0,0,46,0,0,1,3,7,0,0,0,0,2,0,4,0,0,0,1,0,0,0,3,1,0,1,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,4,6,0,0,0,14,0,0,3,0,0,0,4,0,0,2,0,0,9,0,6,0,7,0,0,1,0,0,0,0,35,0,0,0,5,2,0,0,0
"Sawtell_2002",0,0,0,0,0,0,0,1,0,0,1,59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,20,3,0,0,0,0,0,61,0,0
"Sawtell_2003",3,0,0,0,0,0,0,1,0,0,0,27,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,5,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Sawtell_2004",6,0,0,0,0,0,1,0,0,0,2,72,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0,6,0,3,1,0,0,0,0,0,1,3,0,0,0,0,2,12,0,0
"Sawtell_2005",0,0,0,0,0,0,0,1,0,0,2,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,24,0,0
"Sawtell_2006",1,0,0,0,0,0,0,2,0,0,1,43,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,7,3,9,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,18,0,0,0,1,1,21,0,0
"Sawtell_2007",1,0,0,0,0,0,0,5,0,0,2,48,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,7,3,11,0,2,0,38,0,0,0,0,0,0,8,0,0,0,0,0,5,0,7,0,7,0,0,0,0,0,0,0,7,0,0,0,1,2,5,0,0
"Sawtell_2008",4,0,0,0,0,0,0,2,0,0,3,46,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,1,7,0,0,0,1,0,0,1,0,0,0,80,0,0,0,0,0,5,1,2,0,9,0,0,0,0,0,0,0,34,0,0,0,0,0,197,15,0
