Sites,A_chinensis,A_dussumieri,A_maculatus,A_neoguinaicus,A_nigrofuscus,A_strigatus,A_viridis,C_caerulaurea,C_cephalotes,C_dorsomacula,C_guentheri,C_kleinii,C_lophodon,C_picta,C_vestitus,D_punctulatus,E_armatus,G_elevata,H_annulatus,H_hortulanus,H_margaritaceus,K_sydneyanus,L_cyanopleura,L_dimidiatus,M_fuscus,M_vanicolensis,N_gymnogenis,N_unicornis,O_lineolata,P_affinis,P_flavomaculatus,P_guentheri,P_hepatus,P_laticlavius,P_luculentus,P_maculatus,P_microlepidotus,P_oligolepis,P_spilurus,P_unifasciata,P_xanthura,R_sarba,S_apicalis,S_chrysopterus,S_gascoynei,S_ghobban,S_lineolata,S_nebulosus,T_jansenii,T_lunare,T_lutescens
BB1_I,0,0,5.518504535,0,0,778.2657837,711.5362758,0,0,0,0,0,0,0,0,0,15.06359315,0,0,0,0,0,0,0,15.02365758,0,25.38612105,0,0,79.9230474,0,27.40293007,0,19.86761652,0,0,0,48.7014003,0,47.97027932,0,125.0429688,0,0,0,0,810.7628425,0,0,0,0
M1_I,0,0,0,0,0,16.20569657,598.8417473,0,0,0,0,0,0,0,0,152.4035427,0,0,0,0,0,0,0,0,134.0920219,0,39.73523305,0,0,259.7499041,0,56.0600035,0,0,0,0,0,79.61902183,0,51.52936922,0,177.9023438,0,0,0,0,0,0,0,0,0
C1_I,0,0,0,0,0,10.80379771,178.3288168,0,0,0,0,0,0,0,0,0,0,227.3350366,0,0,0,0,0,0,123.8690979,0,142.9823171,0,28.69822398,19.98076185,0,38.86575944,0,0,0,0,0,10.30587385,0,92.75286459,0,0,0,0,0,0,0,263.5690238,0,6.315437353,0
40M2_M,6.417578615,0,0,0,0,495.2843596,244.5720468,0,62.9834987,0,0,0,0,72.34245845,0,0,5.143738083,0,0,19.43788915,0,0,0,0,0,0,141.9697125,0,14.34911199,0,0,21.67151538,0,0,0,64.1464273,1965.769184,0,0,442.5735344,0,0,0,0,0,0,2070.76254,0,0,6.315437353,189.5899948
SB2_M,0,0,0,0,0,253.8892462,1861.299072,0,0,0,0,0,49.58134661,0,0,0,0,0,0,0,0,1614.106811,0,0,0,0,50.77224211,0,0,0,0,17.19424406,0,0,0,1795.064043,7230.110427,0,0,340.0938368,0,161.9316406,0,0,0,354.2294538,1048.370785,1606.664024,0,0,27.20408923
NWS2_M,0,0,0,5.731414685,0,10.80379771,244.5720468,0,0,0,0,0,0,0,0,158.0052006,0,0,0,0,7.016601563,0,0,3.565294879,0,0,34.21672851,0,95.44090178,9.990380925,0,37.61161608,54.9876055,0,5.518504535,0,126.1121496,0,0,319.4820892,0,0,9.68844987,0,9.68844987,0,589.8865823,0,0,89.35164893,14.31809334
NS3_O,0,0,0,0,39.75637515,0,0,0,0,0,0,14.0625,0,0,0,0,0,0,0,0,7.016601563,0,5.731414685,0,0,0,58.590245,112.4710069,0,0,0,31.8802014,0,0,19.86761652,0,672.8255453,0,54.96957568,231.2270805,0,0,0,0,19.37689974,0,0,0,0,18.94631206,48.68122924
SS3_O,121.6286414,348.8546983,0,0,0,118.8417748,889.2561511,77.09577068,0,0,22.53495913,14.0625,0,0,114.9795767,0,0,0,0,0,0,363.6754383,0,9.893054,50.4728716,0,0,11.25035833,0,539.48057,269.2097665,5.731414685,0,0,0,0,1273.493656,0,70.6541027,185.5057292,337.5271892,0,0,12.32592412,0,0,7296.496412,524.4788458,0,6.315437353,91.93152277
NWR3_O,0,22.91188498,0,0,28.97040588,442.4474101,663.4675425,0,0,31.8802014,0,0,0,0,123.8690979,0,0,0,15.9401007,0,0,0,0,1.782647439,591.8568473,57.35534153,0,0,0,0,0,5.731414685,27.49380275,0,0,0,670.3375,0,98.74808705,442.5735344,0,0,0,12.32592412,0,0,1072.186532,286.4097708,9.306640625,70.40533688,20.04504256
