Species,Size,Agg,Position,Diet,Kmax
Pempheris_compressa,S3,Schooling,BenthoP,PK,0.334996507
Pictilabrus_laticlavius,S3,Solitary,BenthoP,I,0.255015507
Platax_teira,S5,Schooling,Benthic,HM,0.082791969
Plectorhinchus_flavomaculatus,S4,Solitary,BenthoP,P,0.11833591
Prionurus_maculatus,S4,Schooling,BenthoP,HD,0.160047531
Prionurus_microlepidotus,S5,Schooling,BenthoP,HD,0.127124153
Pseudocaranx_dentex,S6,Schooling,BenthoP,P,0.059328914
Pseudolabrus_guentheri,S2,Solitary,BenthoP,I,0.472974002
Pseudolabrus_luculentus,S2,Solitary,BenthoP,I,0.599164665
Pterocaesio_digramma,S3,Schooling,Pelagic,PK,0.268453971
Rhabdosargus_sarba,S5,Schooling,Benthic,I,0.114850376
Sarda_australis,S6,Schooling,Pelagic,P,0.039853549
Scarus_ghobban,S5,Solitary,BenthoP,HD,0.100616835
Schuettea_scalaripinnis,S3,Schooling,BenthoP,PK,0.334996507
Scorpaena_cardinalis,S2,Solitary,Benthic,P,0.261735842
Scorpis_lineolata,S3,Schooling,Pelagic,PK,0.268453971
Seriola_dumerili,S6,Schooling,Pelagic,P,0.064584929
Seriola_hippos,S6,Schooling,Pelagic,P,0.072324213
Seriola_lalandi,S6,Schooling,Pelagic,P,0.066475306
Seriola_rivoliana,S6,Schooling,Pelagic,P,0.041625161
Siganus_fuscescens,S4,Schooling,BenthoP,HM,0.186412878
Stegastes_apicalis,S2,Solitary,Benthic,HD,0.5109424
Stegastes_gascoynei,S2,Solitary,Benthic,HD,0.5109424
Stethojulis_interrupta,S2,Schooling,Benthic,I,0.586683869
Sufflamen_chrysopterum,S3,Solitary,BenthoP,I,0.227071241
Synodus_jaculum,S3,Solitary,Benthic,I,0.318833113
Thalassoma_jansenii,S3,Schooling,BenthoP,I,0.340367556
Thalassoma_lunare,S4,Solitary,BenthoP,I,0.114803832
Thalassoma_lutescens,S3,Schooling,BenthoP,I,0.227071241
Trachinops_taeniatus,S1,Schooling,BenthoP,PK,0.654310673
Trachurus_novaezelandiae,S3,Schooling,BenthoP,PK,0.333705053
Trygonorrhina_fasciata,S6,Solitary,Benthic,I,0.063176014
Upeneichthys_lineatus,S4,Schooling,BenthoP,I,0.130337499
