"Species","Size","Agg","Position","Diet","Kmax"
"Paracaesio_xanthura","S4","Group","BenthoP","PK",0.135493591
"Parapercis_ramsayi","S3","Solitary","Benthic","I",0.311291009
"Parapercis_stricticeps","S3","Solitary","Benthic","I",0.388377681
"Parma_unifasciata","S3","Solitary","BenthoP","HD",0.378393114
"Parupeneus_multifasciatus","S4","Group","BenthoP","I",0.140884571
"Parupeneus_spilurus","S4","Solitary","BenthoP","I",0.144643165
"Pempheris_affinis","S2","Group","BenthoP","PK",0.598092109
"Pempheris_compressa","S3","Group","BenthoP","PK",0.334996507
"Pictilabrus_laticlavius","S3","Solitary","BenthoP","I",0.255015507
"Platax_teira","S5","Group","BenthoP","B",0.082791969
"Plectorhinchus_flavomaculatus","S5","Solitary","BenthoP","P",0.11833591
"Prionurus_maculatus","S4","Group","BenthoP","G",0.160047531
"Prionurus_microlepidotus","S5","Group","BenthoP","G",0.127124153
"Pseudocaranx_dentex","S6","Group","BenthoP","P",0.059328914
"Pseudolabrus_guentheri","S3","Solitary","BenthoP","I",0.472974002
"Pseudolabrus_luculentus","S3","Solitary","BenthoP","I",0.599164665
"Pterocaesio_digramma","S3","Group","Pelagic","PK",0.268453971
"Rhabdosargus_sarba","S5","Group","Benthic","I",0.114850376
"Sarda_australis","S6","Group","Pelagic","P",0.039853549
"Schuettea_scalaripinnis","S3","Group","BenthoP","PK",0.334996507
"Scorpaena_cardinalis","S4","Solitary","Benthic","I",0.261735842
"Scorpis_lineolata","S3","Group","Pelagic","PK",0.268453971
"Seriola_dumerili","S6","Group","Pelagic","P",0.064584929
"Seriola_hippos","S6","Group","Pelagic","P",0.072324213
"Seriola_lalandi","S6","Group","Pelagic","P",0.066475306
"Seriola_rivoliana","S6","Group","Pelagic","P",0.041625161
"Siganus_fuscescens","S4","Group","BenthoP","B",0.186412878
"Stethojulis_interrupta","S2","Group","BenthoP","I",0.586683869
"Sufflamen_chrysopterum","S3","Solitary","BenthoP","I",0.227071241
"Synodus_jaculum","S2","Solitary","Benthic","I",0.318833113
"Thalassoma_lunare","S4","Solitary","BenthoP","I",0.114803832
"Thalassoma_lutescens","S3","Group","BenthoP","I",0.227071241
"Trachinops_taeniatus","S2","Group","BenthoP","PK",0.654310673
"Trachurus_novaezelandiae","S4","Group","BenthoP","PK",0.333705053
"Trygonorrhina_fasciata","S6","Solitary","Benthic","I",0.063176014
"Upeneichthys_lineatus","S4","Group","BenthoP","I",0.130337499
