"","Code","Abudefduf_bengalensis","Acanthistius_ocellatus","Acanthopagrus_australis","Acanthurus_dussumieri","Achoerodus_viridis","Aetobatus_narinari","Aluterus_monoceros","Anampses_caeruleopunctatus","Aplodactylus_lophodon","Apogon_limenus","Atypichthys_strigatus","Aulostomus_chinensis","Austrolabrus_maculatus","Bodianus_frenchii","Bodianus_perditio","Brachaelurus_waddi","Canthigaster_callisterna","Carcharias_taurus","Centropogon_australis","Centropyge_tibicen","Chaetodon_flavirostris","Chaetodon_guentheri","Chelmonops_truncatus","Choerodon_venustus","Chromis_hypsilepis","Chrysophrys_auratus","Coris_dorsomacula","Coris_picta","Dasyatis_brevicaudata","Dinolestes_lewini","Echeneis_naucrates","Enoplosus_armatus","Epinephelus_daemelii","Epinephelus_fasciatus","Epinephelus_undulatostriatus","Eubalichthys_mosaicus","Eupetrichthys_angustipes","Glaucosoma_scapulare","Goniistius_vestitus","Gymnothorax_prasinus","Gymnothorax_prionodon","Gymnothorax_thyrsoidea","Heniochus_acuminatus","Heterodontus_galeatus","Hypoplectrodes_maccullochi","Kyphosus_sydneyanus","Labroides_dimidiatus","Lethrinus_nebulosus","Lotella_rhacina","Lutjanus_adetii","Lutjanus_fulviflamma","Lutjanus_russellii","Mecaenichthys_immaculatus","Meuschenia_flavolineata","Meuschenia_freycineti","Meuschenia_trachylepis","Morwong_fuscus","Mulloidichthys_vanicolensis","Myliobatis_australis","Nelusetta_ayraud","Nemadactylus_douglasii","Notolabrus_gymnogenis","Ophthalmolepis_lineolata","Orectolobus_halei","Orectolobus_maculatus","Paracaesio_xanthura","Parapercis_ramsayi","Parapercis_stricticeps","Parma_unifasciata","Parupeneus_multifasciatus","Parupeneus_spilurus","Pempheris_affinis","Pempheris_compressa","Pictilabrus_laticlavius","Platax_teira","Plectorhinchus_flavomaculatus","Prionurus_maculatus","Prionurus_microlepidotus","Pseudocaranx_dentex","Pseudolabrus_guentheri","Pseudolabrus_luculentus","Pterocaesio_digramma","Rhabdosargus_sarba","Sarda_australis","Schuettea_scalaripinnis","Scorpaena_cardinalis","Scorpis_lineolata","Seriola_dumerili","Seriola_hippos","Seriola_lalandi","Seriola_rivoliana","Siganus_fuscescens","Stethojulis_interrupta","Sufflamen_chrysopterum","Synodus_jaculum","Thalassoma_lunare","Thalassoma_lutescens","Trachinops_taeniatus","Trachurus_novaezelandiae","Trygonorrhina_fasciata","Upeneichthys_lineatus","Anampses_neoguinaicus","Atractoscion_atelodus","Caranx_melampygus","Caranx_sexfasciatus","Chromis_weberi","Cirrhilabrus_punctatus","Cirrhitichthys_aprinus","Coris_aygula","Dasyatis_thetidis","Dicotylichthys_punctulatus","Epinephelus_cyanopodus","Girella_elevata","Gnathanodon_speciosus","Halichoeres_nebulosus","Meuschenia_scaber","Microcanthus_strigatus","Paraplesiops_bleekeri","Plagiotremus_tapeinosoma","Pomacentrus_coelestis","Rachycentron_canadum","Seriolina_nigrofasciata","Trachypoma_macracanthus","Zanclus_cornutus"
"1","JeffreyShoal_2002",0,2,2,0,0,0,0,0,0,0,71,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,7,41,0,0,0,0,0,0,0,0,0,5,1,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","JeffreyShoal_2003",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,55,0,0,0,0,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","JeffreyShoal_2004",0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,2,0,0,15,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,3,65,0,0,0,0,0,0,0,0,1,3,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","JeffreyShoal_2005",0,0,1,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,2,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,68,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","JeffreyShoal_2006",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,85,0,0,0,1,0,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","JeffreyShoal_2007",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","JeffreyShoal_2008",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,2,0,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,7,20,0,0,0,0,0,0,0,0,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","JeffreyShoal_2009",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,1,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,81,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","JeffreyShoal_2010",0,1,6,0,1,0,2,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,1,0,3,0,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,7,0,1,11,0,0,8,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,60,13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","JeffreyShoal_2011",0,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
