"Species","Size","Aggr","Posi","Diet"
"C_vestitus","S4","Solitary","BenthoP","I"
"H_annulatus","S4","Solitary","BenthoP","P"
"H_hortulanus","S3","Solitary","BenthoP","I"
"H_margaritaceus","S2","Solitary","BenthoP","I"
"L_cyanopleura","S2","Group","BenthoP","PK"
"N_unicornis","S5","Solitary","BenthoP","B"
"P_hepatus","S4","Solitary","BenthoP","O"
"P_oligolepis","S3","Solitary","BenthoP","HD"
"S_apicalis","S2","Solitary","BenthoP","G"
"S_gascoynei","S4","Group","BenthoP","B"
"S_ghobban","S2","Solitary","BenthoP","G"
"S_nebulosus","S3","Group","Benthic","PK"
"T_jansenii","S3","Group","BenthoP","I"
